label,m1_real,m1_fake,m2_real,m2_fake,m3_real,m3_fake,m4_real,m4_fake,m5_real,m5_fake
1,0.9992079198360443,0.0007920801639556885,0.9992141187191009,0.0007858812808990478,0.9995070695877075,0.0004929304122924805,0.6640971541404724,0.33590284585952757,0.20678961277008057,0.7932104468345642
1,0.9994072854518891,0.0005927145481109619,0.9993091613054276,0.0006908386945724488,0.9743939638137817,0.02560603618621826,0.7321853131055832,0.2678146868944168,0.15370817482471466,0.8462918400764465
1,0.999465811252594,0.0005341887474060059,0.999398386478424,0.0006016135215759277,0.999536195397377,0.00046380460262298586,0.9524633049964905,0.04753669500350952,0.1294812709093094,0.8705188035964966
1,0.9994973599910736,0.0005026400089263916,0.999467882514,0.0005321174860000611,0.9994133770465851,0.000586622953414917,0.544895789027214,0.45510421097278597,0.6878746747970581,0.3121252954006195
1,0.9992964178323746,0.0007035821676254272,0.9991643279790878,0.0008356720209121704,0.9743069261312485,0.025693073868751526,0.03917157053947449,0.9608284294605255,0.2967678904533386,0.7032321691513062
1,0.9994842767715454,0.0005157232284545898,0.9993749290704728,0.0006250709295272828,0.9993657171726227,0.0006342828273773193,0.4171162545681,0.5828837454319,0.12079563736915588,0.8792043328285217
1,0.9995463609695434,0.000453639030456543,0.9994947612285614,0.0005052387714385986,0.9994489252567291,0.000551074743270874,0.9588228583335876,0.041177141666412356,0.2428012490272522,0.7571987509727478
1,0.9994802415370941,0.0005197584629058838,0.99944948554039,0.0005505144596099854,0.9993347644805908,0.0006652355194091796,0.8966894447803497,0.10331055521965027,0.11864293366670609,0.8813570141792297
1,0.9994816929101944,0.000518307089805603,0.9994177550077439,0.0005822449922561646,0.7103487491607666,0.2896512508392334,0.0246235191822052,0.9753764808177948,0.5810229182243347,0.4189770817756653
1,0.9994844496250153,0.0005155503749847412,0.9994277209043503,0.0005722790956497192,0.9994109839200973,0.0005890160799026489,0.9992367386817932,0.0007632613182067871,0.7924634218215942,0.20753659307956696
1,0.999491149187088,0.0005088508129119873,0.9994417130947113,0.0005582869052886963,0.999515387415886,0.0004846125841140747,0.9907978475093842,0.009202152490615845,0.27569204568862915,0.7243079543113708
